CATE,AREA,school,price,LONG,LAT
chaoyang,46.06,0,48850,116.4596527,39.92834651
chaoyang,59.09,0,46540,116.4596527,39.92834651
haidian,278.95,1,71662,116.3035556,39.95480697
haidian,207,1,57972,116.3035556,39.95480697
fengtai,53.32,1,71268,116.4188263,39.94381285
fengtai,58,1,70690,116.4188263,39.94381285
haidian,55.8,1,57348,116.3331261,40.03770842
haidian,58.9,1,55179,116.3331261,40.03770842
haidian,66.9,1,45591,116.3331261,40.03770842
fengtai,53,0,73585,116.3917534,39.84567113
chaoyang,94.19,0,60516,116.3448937,39.90108403
chaoyang,38.94,0,56498,116.3448937,39.90108403
chaoyang,48,0,55209,116.3448937,39.90108403
chaoyang,36.74,0,54437,116.3448937,39.90108403
chaoyang,45,0,53334,116.3448937,39.90108403
chaoyang,92.98,0,50549,116.3448937,39.90108403
chaoyang,64.6,0,68576,116.4561529,39.90398133
chaoyang,80.74,0,66634,116.4561529,39.90398133
chaoyang,81,0,66050,116.4561529,39.90398133
chaoyang,78.23,0,67749,116.4561529,39.90398133
chaoyang,218.28,1,71010,116.4559206,39.95507543
fengtai,26.28,0,55176,116.4297172,39.87274752
fengtai,46,0,52174,116.4297172,39.87274752
fengtai,46.39,0,45700,116.4297172,39.87274752
fengtai,58,0,45690,116.4297172,39.87274752
fengtai,46.39,0,45269,116.4297172,39.87274752
fengtai,46.39,0,44191,116.4297172,39.87274752
fengtai,46.39,0,44191,116.4297172,39.87274752
fengtai,60.56,0,43429,116.4297172,39.87274752
fengtai,48.44,0,39637,116.4297172,39.87274752
chaoyang,71.77,0,36227,116.4596527,39.92834651
dongcheng,302.42,0,76054,116.4344963,39.9480239
dongcheng,305,0,75410,116.4344963,39.9480239
dongcheng,608,0,69079,116.4344963,39.9480239
dongcheng,306,0,68628,116.4344963,39.9480239
dongcheng,306,0,68628,116.4344963,39.9480239
dongcheng,305.48,0,60561,116.4344963,39.9480239
chaoyang,141,0,45036,116.48146,39.91318701
chaoyang,143.19,0,39109,116.48146,39.91318701
chaoyang,146.72,0,38509,116.48146,39.91318701
chaoyang,155.3,0,77270,116.4546743,39.9729491
chaoyang,150.4,0,74469,116.4546743,39.9729491
chaoyang,119.13,0,73869,116.4546743,39.9729491
chaoyang,139.01,0,71938,116.4546743,39.9729491
chaoyang,46.44,0,71060,116.4546743,39.9729491
chaoyang,192.68,0,70065,116.4546743,39.9729491
chaoyang,116.64,0,65587,116.4546743,39.9729491
chaoyang,117,0,63077,116.4546743,39.9729491
chaoyang,66.36,0,61785,116.4546743,39.9729491
chaoyang,54.62,0,60418,116.4546743,39.9729491
chaoyang,53.44,0,58009,116.4546743,39.9729491
haidian,212,0,99057,116.4596527,39.92834651
haidian,240,0,72917,116.4596527,39.92834651
chaoyang,79,1,49368,116.5356676,39.92663345
chaoyang,135.62,1,48666,116.5356676,39.92663345
chaoyang,111.1,1,47705,116.5356676,39.92663345
chaoyang,62.56,1,40122,116.5356676,39.92663345
haidian,49.96,1,86069,116.4596527,39.92834651
haidian,76.17,1,72207,116.4596527,39.92834651
haidian,89.2,1,67265,116.4596527,39.92834651
haidian,89.2,1,64462,116.4596527,39.92834651
xicheng,57.5,1,114435,116.3875064,39.93576614
xicheng,57.7,1,114039,116.3875064,39.93576614
xicheng,48.4,1,111571,116.3875064,39.93576614
xicheng,58.3,1,111493,116.3875064,39.93576614
xicheng,51.3,1,105264,116.3875064,39.93576614
xicheng,57.7,1,104853,116.3875064,39.93576614
xicheng,74,1,104055,116.3875064,39.93576614
xicheng,72.9,1,97394,116.3875064,39.93576614
xicheng,59.1,1,94755,116.3875064,39.93576614
chaoyang,93.78,0,64513,116.5103061,39.91838667
chaoyang,133.58,0,59890,116.5103061,39.91838667
chaoyang,163.68,0,58652,116.5103061,39.91838667
chaoyang,133.05,0,58475,116.5103061,39.91838667
chaoyang,147.09,0,58332,116.5103061,39.91838667
chaoyang,145.87,0,58272,116.5103061,39.91838667
chaoyang,94.15,0,60542,116.616323,39.92998098
chaoyang,87.81,0,56942,116.616323,39.92998098
chaoyang,88.88,0,56256,116.616323,39.92998098
chaoyang,127.79,0,62603,116.5103061,39.91838667
chaoyang,68.69,0,61145,116.5103061,39.91838667
chaoyang,63,0,58731,116.5103061,39.91838667
chaoyang,110.71,0,58712,116.5103061,39.91838667
chaoyang,105,0,52381,116.5103061,39.91838667
xicheng,50.4,1,134921,116.399282,39.96293523
xicheng,48.5,1,112372,116.399282,39.96293523
xicheng,62.1,1,101450,116.399282,39.96293523
dongcheng,71.78,1,87769,116.4033735,39.96320389
dongcheng,53.79,1,98532,116.3933849,39.96319816
dongcheng,46.87,1,96011,116.3933849,39.96319816
dongcheng,46.87,1,93877,116.3933849,39.96319816
dongcheng,89.12,1,84493,116.3933849,39.96319816
dongcheng,71,1,73240,116.3933849,39.96319816
xicheng,88.4,1,113123,116.4007971,39.95783166
xicheng,40.1,0,109477,116.4007971,39.95783166
xicheng,51.38,1,108992,116.4007971,39.95783166
xicheng,55,0,106910,116.4007971,39.95783166
xicheng,43.5,1,106897,116.4007971,39.95783166
xicheng,55,1,105455,116.4007971,39.95783166
xicheng,42.8,1,105141,116.4007971,39.95783166
xicheng,67.1,1,103577,116.4007971,39.95783166
xicheng,50.4,0,103175,116.4007971,39.95783166
xicheng,82.8,1,96619,116.4007971,39.95783166
xicheng,63,0,95556,116.4007971,39.95783166
xicheng,61.8,1,95470,116.4007971,39.95783166
xicheng,59.3,0,92749,116.4007971,39.95783166
xicheng,63.5,0,92599,116.4007971,39.95783166
xicheng,64.2,0,91745,116.4007971,39.95783166
xicheng,64,0,90625,116.4007971,39.95783166
xicheng,134.6,0,89154,116.4007971,39.95783166
xicheng,122.62,1,42816,116.4007971,39.95783166
dongcheng,67,1,86568,116.4078025,39.95804557
dongcheng,73.18,1,81990,116.4078025,39.95804557
dongcheng,50.39,1,80374,116.4078025,39.95804557
dongcheng,69,1,80000,116.4078025,39.95804557
dongcheng,46.6,1,78970,116.4078025,39.95804557
dongcheng,56.5,1,78762,116.4078025,39.95804557
dongcheng,72,1,76389,116.4078025,39.95804557
dongcheng,59,1,76272,116.4078025,39.95804557
dongcheng,43.31,1,76195,116.4078025,39.95804557
dongcheng,59.33,1,75847,116.4078025,39.95804557
dongcheng,60,1,75000,116.4078025,39.95804557
dongcheng,58.38,1,73656,116.4078025,39.95804557
dongcheng,46.07,1,72716,116.4078025,39.95804557
dongcheng,59.33,1,71634,116.4078025,39.95804557
dongcheng,36.7,1,70845,116.4078025,39.95804557
dongcheng,57.84,1,74344,116.4052954,39.95799397
dongcheng,57.84,1,72615,116.4052954,39.95799397
dongcheng,70.21,1,70503,116.4052954,39.95799397
dongcheng,64.34,1,69941,116.4052954,39.95799397
dongcheng,88.69,1,60887,116.4052954,39.95799397
dongcheng,47.5,1,85264,116.4008125,39.95893378
dongcheng,46.39,1,84070,116.4008125,39.95893378
dongcheng,44,1,83637,116.4008125,39.95893378
dongcheng,62.64,1,83015,116.4008125,39.95893378
dongcheng,111.04,1,80602,116.4008125,39.95893378
dongcheng,111.04,1,80152,116.4008125,39.95893378
dongcheng,73.45,1,74881,116.4008125,39.95893378
dongcheng,54.41,1,71679,116.4008125,39.95893378
xicheng,200.46,0,114737,116.3900328,39.95703549
xicheng,56.46,0,114418,116.3900328,39.95703549
xicheng,75.73,0,110261,116.3900328,39.95703549
xicheng,74.75,1,109031,116.3900328,39.95703549
xicheng,88.76,1,108157,116.3900328,39.95703549
xicheng,66.64,0,108044,116.3900328,39.95703549
xicheng,58.99,0,105951,116.3900328,39.95703549
xicheng,75.42,0,105410,116.3900328,39.95703549
xicheng,71.79,1,101686,116.3900328,39.95703549
xicheng,72.79,0,100289,116.3900328,39.95703549
xicheng,65.12,0,98281,116.3900328,39.95703549
xicheng,88.86,0,90030,116.3900328,39.95703549
dongcheng,65.59,0,76232,116.4136322,39.98175856
dongcheng,52.2,0,74713,116.4136322,39.98175856
dongcheng,88,0,70455,116.4136322,39.98175856
dongcheng,88.24,0,67997,116.4136322,39.98175856
dongcheng,68,0,66177,116.4136322,39.98175856
dongcheng,43.55,0,91849,116.4358667,39.95591794
dongcheng,148.4,0,114556,116.4146588,39.95248179
chaoyang,84.61,1,66896,116.4596527,39.92834651
chaoyang,58.52,0,58955,116.4125863,39.97243913
chaoyang,57.85,0,56180,116.4125863,39.97243913
chaoyang,59.06,0,54183,116.4125863,39.97243913
chaoyang,63.88,0,68097,116.4132272,39.96986436
chaoyang,61,0,55738,116.4132272,39.96986436
chaoyang,84.25,0,55193,116.4132272,39.96986436
chaoyang,78.63,0,52398,116.4132272,39.96986436
chaoyang,55.27,0,61336,116.4111844,39.9689332
chaoyang,51.21,0,56630,116.4111844,39.9689332
chaoyang,53.24,0,72315,116.4096042,39.97399988
chaoyang,74.57,0,60346,116.4096042,39.97399988
chaoyang,74.57,0,58335,116.4096042,39.97399988
chaoyang,73.87,0,56857,116.4096042,39.97399988
chaoyang,63.32,0,56855,116.4096042,39.97399988
chaoyang,56.98,0,56161,116.4040157,39.97212151
